,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Test.gain.without.wetlands,340.7208,40.2027,241.4507,-393.1905,-44601.5071,67.2647,-5010.0433,3.9179,-5069.2708,3.7851,-5437.667
Test.gain.without.woody_savannas,262.0584,52.0601,74.2114,3.3877,-4935634.0346,53.2375,4.0318,4.0574,3.8824,3.7905,-493517.3317
Test.gain.with.only.annual_mean_temperature,1.3442,1.2701,1.2452,1.2181,1.1914,1.2251,1.3782,1.2465,1.2127,1.3196,1.2651
Test.gain.with.only.annual_precipitation,1.2491,1.2923,1.2755,1.1141,1.1735,1.1738,1.2581,1.163,1.2655,1.2603,1.2225
Test.gain.with.only.barren_vegetation,0.4646,0.4207,0.4646,0.4646,0.4264,0.4418,0.4646,0.4207,0.4264,0.4646,0.4459
Test.gain.with.only.closed_shrubland,0,-0.0145,0.0012,0,0,0.0047,-0.0145,0,0.0012,0.0053,-0.0017
Test.gain.with.only.croplands,0.3771,0.355,0.3251,0.3496,0.1809,0.355,0.3777,0.3552,0.3493,0.3975,0.3422
Test.gain.with.only.deciduous_broadleaf_forest,0.0283,0.0268,0.0488,0.0247,0.0409,0.0451,0.0283,0.0268,0.0372,0.0247,0.0332
Test.gain.with.only.deciduous_needleleaf_forest,0.0035,3e-04,0.0071,-0.0204,3e-04,0.0051,-0.0139,0.0077,-0.0014,-0.0094,-0.0021
Test.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Test.gain.with.only.evergreen_needleleaf_forest,1.0605,1.302,1.2379,1.0706,1.0242,1.1621,0.8396,1.2987,0.9292,1.267,1.1192
Test.gain.with.only.grasslands,0.9886,1.0334,1.1303,0.9557,1.1125,0.7676,1.0266,0.8624,1.1029,0.8985,0.9879
Test.gain.with.only.mixed_forests,0.3025,0.5028,0.5827,0.4443,0.2371,0.4983,0.2295,0.4164,0.3174,0.4866,0.4018
Test.gain.with.only.open_shrublands,0.7114,0.7776,0.5569,0.5821,0.5579,0.3799,0.9319,0.4026,0.6827,0.7213,0.6304
Test.gain.with.only.precipitation_seasonality,0.92,0.9447,1.0584,0.8729,0.9776,0.9517,1.019,0.9069,0.9691,0.9001,0.952
Test.gain.with.only.savannas,0.0827,0.011,0.4545,0.3258,0.3529,0.1207,0.2597,0.2797,0.1232,0.3999,0.241
Test.gain.with.only.snow_ice,0.0698,0.172,0.1152,-0.0555,0.1479,0.0252,0.1147,0.1228,0.0266,-0.0526,0.0686
Test.gain.with.only.temperature_seasonality,0.4572,0.5017,0.517,0.4375,0.5368,0.3175,0.5838,0.3951,0.5037,0.3139,0.4564
Test.gain.with.only.urban_areas,0.0431,0.043,0.0449,-0.0269,-0.0053,0.0752,0.0406,0.0404,0.0307,-0.0172,0.0269
Test.gain.with.only.wetlands,0.0332,-0.0158,0.0261,-0.02,0.0626,-0.02,0.0332,0.0431,0.0701,0.0436,0.0256
