,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
Test.gain.with.only.precipitation_of_wettest_quarter.2,0.4639,0.3493,0.4011,0.29,0.3677,0.4155,0.4441,0.3087,0.2682,0.3225,0.3631
Test.gain.with.only.precipitation_of_wettest_quarter.3,0.6117,0.5694,0.659,0.5336,0.3893,0.596,0.6285,0.5088,0.5179,0.492,0.5506
Test.gain.with.only.precipitation_of_wettest_quarter.4,0.4301,0.4075,0.2792,0.4739,0.3309,0.2526,0.4701,0.4349,0.4015,0.4446,0.3925
Test.gain.with.only.savannas,0.0426,0.0426,-0.0133,0.0363,0.0426,0.0363,0.0426,0.0363,0.0052,0.0426,0.0314
Test.gain.with.only.snow_ice,0.0211,0.0211,0.0211,0.0211,0.0211,-0.0183,0.0211,0.0211,0.0211,0.0211,0.0172
Test.gain.with.only.urban_areas,-0.0111,0.0081,0.0232,0.0252,-0.0093,0.0081,-0.0203,-0.0123,0.0343,0.023,0.0069
Test.gain.with.only.wetlands,0.0909,0.0909,0.0461,0.0619,0.0909,0.0909,0.0909,0.0909,0.0461,0.0909,0.079
Test.gain.with.only.woody_savannas,0.0202,0.0014,0.0075,0.0164,0.02,-0.0101,-0.0217,0.0025,-0.0346,0.0064,8e-04
AUC.without.barren_vegetation,0.9776,0.9651,0.9639,0.9612,0.9404,0.935,0.9601,0.951,0.9565,0.9605,0.9571
AUC.without.closed_shrubland,0.9771,0.9664,0.966,0.9644,0.9419,0.9374,0.9629,0.9492,0.962,0.9619,0.9589
AUC.without.croplands,0.9735,0.9622,0.9656,0.9615,0.9413,0.9391,0.9615,0.9438,0.9557,0.9619,0.9566
AUC.without.deciduous_broadleaf_forest,0.9768,0.9637,0.9634,0.9613,0.94,0.9358,0.9606,0.9501,0.9568,0.9602,0.9569
AUC.without.deciduous_needleleaf_forest,0.9775,0.9667,0.9641,0.9635,0.9413,0.937,0.9623,0.9485,0.9585,0.9621,0.9582
AUC.without.evergreen_broadleaf_forest,0.9775,0.9667,0.964,0.9635,0.9414,0.9371,0.9624,0.9486,0.9589,0.9622,0.9582
AUC.without.evergreen_needleleaf_forest,0.9783,0.9656,0.9629,0.9649,0.9396,0.9362,0.9603,0.9456,0.9542,0.9611,0.9569
AUC.without.grasslands,0.9721,0.965,0.9587,0.9563,0.9381,0.934,0.9518,0.9535,0.9519,0.9618,0.9543
AUC.without.mixed_forests,0.9762,0.9649,0.9605,0.9605,0.9388,0.9361,0.9621,0.949,0.9535,0.9579,0.9559
AUC.without.open_shrublands,0.9759,0.964,0.9647,0.9605,0.9394,0.932,0.9595,0.9463,0.9542,0.9593,0.9556
AUC.without.precipitation_of_wettest_quarter.1,0.9725,0.9563,0.9574,0.9532,0.9328,0.939,0.9512,0.936,0.9508,0.9539,0.9503
AUC.without.precipitation_of_wettest_quarter.2,0.9732,0.9634,0.9607,0.9604,0.9349,0.9287,0.9585,0.9431,0.9542,0.9572,0.9534
AUC.without.precipitation_of_wettest_quarter.3,0.972,0.953,0.9547,0.962,0.9411,0.9396,0.9548,0.9243,0.9508,0.9615,0.9514
AUC.without.precipitation_of_wettest_quarter.4,0.9749,0.9629,0.9596,0.9565,0.9412,0.9408,0.9622,0.9452,0.9509,0.9558,0.955
AUC.without.savannas,0.9763,0.9637,0.9701,0.9605,0.94,0.9347,0.9609,0.9452,0.9572,0.9611,0.957
AUC.without.snow_ice,0.9776,0.9659,0.9634,0.9636,0.941,0.9419,0.9627,0.9467,0.9579,0.9613,0.9582
AUC.without.urban_areas,0.9774,0.9656,0.9626,0.9631,0.9415,0.9382,0.9622,0.9488,0.9579,0.9618,0.9579
AUC.without.wetlands,0.9773,0.9662,0.9652,0.9641,0.9411,0.9364,0.9608,0.948,0.9591,0.9618,0.958
AUC.without.woody_savannas,0.9765,0.9649,0.9628,0.9619,0.9419,0.9347,0.959,0.9466,0.9579,0.9615,0.9568
AUC.with.only.barren_vegetation,0.6769,0.6707,0.6665,0.6755,0.6595,0.6682,0.6808,0.6615,0.6698,0.668,0.6697
AUC.with.only.closed_shrubland,0.5154,0.4987,0.5241,0.5411,0.5158,0.5407,0.5158,0.5155,0.5155,0.5159,0.5199
AUC.with.only.croplands,0.7191,0.7139,0.732,0.7227,0.6871,0.689,0.6895,0.72,0.7733,0.6659,0.7112
AUC.with.only.deciduous_broadleaf_forest,0.4909,0.5042,0.483,0.4956,0.5043,0.498,0.5124,0.4789,0.4734,0.5118,0.4952
AUC.with.only.deciduous_needleleaf_forest,0.5239,0.5239,0.5239,0.5239,0.5239,0.5239,0.5239,0.5239,0.5239,0.5239,0.5239
AUC.with.only.evergreen_broadleaf_forest,0.4992,0.4992,0.5,0.5,0.4992,0.4992,0.4992,0.4992,0.5,0.4992,0.4994
AUC.with.only.evergreen_needleleaf_forest,0.5338,0.4791,0.4853,0.5418,0.5218,0.5254,0.5179,0.5225,0.5209,0.5417,0.519
AUC.with.only.grasslands,0.8153,0.8271,0.8419,0.7951,0.7913,0.8239,0.8461,0.8188,0.8292,0.8122,0.8201
AUC.with.only.mixed_forests,0.5504,0.5675,0.5648,0.5207,0.5316,0.5361,0.5453,0.5472,0.5532,0.5601,0.5477
AUC.with.only.open_shrublands,0.5602,0.5565,0.5004,0.4976,0.5687,0.5222,0.572,0.496,0.5261,0.541,0.5341
AUC.with.only.precipitation_of_wettest_quarter.1,0.8042,0.8153,0.7861,0.7929,0.7956,0.78,0.8358,0.7979,0.799,0.7966,0.8003
AUC.with.only.precipitation_of_wettest_quarter.2,0.755,0.7174,0.7309,0.6932,0.7319,0.7552,0.7887,0.711,0.7037,0.7263,0.7313
AUC.with.only.precipitation_of_wettest_quarter.3,0.7887,0.775,0.7816,0.7624,0.7637,0.7859,0.8106,0.7639,0.7603,0.7463,0.7738
AUC.with.only.precipitation_of_wettest_quarter.4,0.7527,0.7468,0.7107,0.7711,0.7188,0.6955,0.7646,0.7534,0.7468,0.7625,0.7423
AUC.with.only.savannas,0.5293,0.5293,0.5125,0.5212,0.5293,0.5212,0.5293,0.5212,0.5209,0.5293,0.5243
AUC.with.only.snow_ice,0.5135,0.5135,0.5135,0.5135,0.5135,0.5051,0.5135,0.5135,0.5135,0.5135,0.5127
AUC.with.only.urban_areas,0.5061,0.521,0.5392,0.5543,0.4991,0.5231,0.4899,0.5048,0.5792,0.5385,0.5255
AUC.with.only.wetlands,0.5486,0.5486,0.5407,0.5409,0.5486,0.5486,0.5486,0.5486,0.5407,0.5486,0.5463
AUC.with.only.woody_savannas,0.5222,0.4937,0.5109,0.5538,0.5371,0.4706,0.4969,0.4856,0.4918,0.4976,0.506
Entropy,6.662,6.6241,6.6002,6.6398,6.5426,6.5762,6.6389,6.5642,6.6078,6.6085,6.6064
Prevalence..average.probability.of.presence.over.background.sites.,0.0426,0.0411,0.0399,0.0417,0.038,0.0391,0.0418,0.0387,0.0405,0.0405,0.0404
Fixed.cumulative.value.1.cumulative.threshold,1,1,1,1,1,1,1,1,1,1,1
Fixed.cumulative.value.1.Cloglog.threshold,0.0055,0.0056,0.0049,0.006,0.0059,0.0051,0.0058,0.005,0.006,0.0054,0.0055
Fixed.cumulative.value.1.area,0.3677,0.342,0.3698,0.3495,0.3037,0.3406,0.3374,0.3335,0.3182,0.3423,0.3405
Fixed.cumulative.value.1.training.omission,0.0169,0.0127,0.0127,0.0084,0.0084,0.0084,0.0127,0.0127,0.0127,0.0127,0.0118
Fixed.cumulative.value.1.test.omission,0,0.0169,0.0169,0.0169,0.0678,0.0508,0.0169,0.0339,0.0508,0.0169,0.0288
Fixed.cumulative.value.1.binomial.probability,3.652e-24,1.531e-25,8.561e-23,9.309e-25,4.404e-26,2.999e-23,4.863e-26,3.295e-25,1.176e-25,1.648e-25,0
Fixed.cumulative.value.5.cumulative.threshold,5,5,5,5,5,5,5,5,5,5,5
Fixed.cumulative.value.5.Cloglog.threshold,0.0329,0.0358,0.032,0.0338,0.0362,0.0349,0.0362,0.0354,0.0382,0.0339,0.0349
Fixed.cumulative.value.5.area,0.1497,0.1386,0.1451,0.1473,0.1252,0.1329,0.1374,0.1309,0.1374,0.1362,0.1381
Fixed.cumulative.value.5.training.omission,0.0338,0.0253,0.0338,0.0295,0.0295,0.0295,0.0253,0.0295,0.0253,0.0295,0.0291
