annual_precipitation,precipitation_seasonality,annual_mean_temperature,temperature_seasonality,urban_areas,croplands,snow_ice,wetlands,mixed_forests,evergreen_needleleaf_forest,evergreen_broadleaf_forest,deciduous_needleleaf_forest,deciduous_broadleaf_forest,closed_shrubland,open_shrublands,woody_savannas,savannas,barren_vegetation,grasslands
B_polaris,1.1146,0.3318,80.5211,10.8983,0,0.1801,0.169,0.3965,0.1727,0.9628,0,0.0652,0.0208,0.0899,0.3055,0.0605,0.0106,3.6635,1.0371
B_pomorum,6.5804,4.3437,22.7446,18.0772,1.1633,14.3127,0.001,1.052,3.6822,0.9006,0,0.0133,0.5339,0.0096,0.2168,1.4856,0.003,20.6419,4.2381
B_portschinsky,0.5761,0.9619,42.0877,20.4929,0.0264,0.0488,0.1396,0.003,8.5432,0.0802,0,0,0.1104,0.7269,4.8784,9.4854,0,0.9762,10.863
B_pratorum,4.7916,10.0014,19.4359,31.682,0.7302,0.5089,0.3356,0.152,1.3924,0.495,0,0.0234,0.158,0.1656,0.6485,1.772,0.128,26.2808,1.2987
B_pyrenaeus,4.468,9.0089,14.2176,21.2655,0.0637,7.2709,0.7192,0.0105,13.9781,3.1359,0.0839,0.0072,1.4331,0.0034,9.0765,0.8834,0.2582,2.2667,11.8493
B_quadricolor,3.5797,5.4984,44.1257,14.773,0.3777,3.2216,0.8015,0.1274,9.8174,1.2392,0,0.2501,0.4914,0.1071,0.5893,3.9505,0.2015,7.7373,3.1111
B_ruderarius,5.0556,4.726,15.5441,22.4602,0.93,1.7935,0.759,0.3034,1.2882,0.5134,0,0.0393,0.1529,0.0826,1.111,0.3108,0.2211,43.9729,0.7361
B_ruderatus,9.3101,10.6425,6.2079,7.522,2.0762,9.1733,0.2345,0.0614,2.2413,0.2499,17.7179,0.5846,0.2295,0.1642,1.2628,14.0783,0.9006,16.4104,0.9327
B_rupestris,3.2249,24.2212,23.6907,27.4273,1.6815,3.7749,0.6211,0.9992,3.721,0.7509,0.0017,0.2569,0.1037,0.0836,4.4325,1.03,0.2071,0.9076,2.8644
B_schrencki,7.2118,11.8655,25.3636,5.9912,0.6615,1.6401,0,0.4792,39.0959,0.0758,0,0.2927,0.0521,0,1.0619,0.4149,0.1154,0,5.6783
B_semenoviellus,5.3411,1.8063,42.2355,19.7275,1.0916,2.4724,0,0.4886,23.8809,0.4495,0,0.1561,0.7251,0,0.6798,0.048,0.0419,0,0.8558
B_sichelii,3.8311,12.5608,12.1638,11.0313,0.3521,5.4997,0.1206,0.9779,10.6412,8.2063,0.1556,0.011,0.8894,0.0333,1.8255,0.75,0.4083,16.5781,13.9639
B_soroeensis,8.4214,6.6568,24.6759,44.2767,0.3117,4.2729,0.0531,0.4816,1.3861,0.9596,0.0029,0.2819,0.4435,0.1338,0.6649,0.5243,0.3117,5.0715,1.0697
